State,POP_EST_JUL_21,PCT_LT_5
AL,5039877,6.0
AK,732673,7.0
AZ,7276316,5.9
AR,3025891,6.2
CA,39237836,6.0
CO,5812069,5.8
CT,3605597,5.1
DE,1003384,5.6
FL,21781128,5.3
GA,10799566,6.2
HI,1441553,6.0
ID,1900923,6.5
IL,12671469,5.9
IN,6805985,6.2
IA,3193079,6.2
KS,2934582,6.4
KY,4509394,6.1
LA,4624047,6.5
ME,1372247,4.7
MD,6165129,6.0
MA,6984723,5.2
MI,10050811,5.7
MN,5707390,6.2
MS,2949965,6.2
MO,6168187,6.0
MT,1104271,5.7
NE,1963692,6.8
NV,3143991,6.0
NH,1388992,4.7
NJ,9267130,5.8
NM,2115877,5.8
NY,19835913,5.8
NC,10551162,5.8
ND,774948,7.1
OH,11780017,5.9
OK,3986639,6.5
OR,4246155,5.4
PA,12964056,5.5
RI,1095610,5.1
SC,5190705,5.7
SD,895376,6.9
TN,6975218,6.0
TX,29527941,6.9
UT,3337975,7.7
VT,645570,4.7
VA,8642274,5.9
WA,7738692,6.0
WV,1782959,5.2
WI,5895908,5.7
WY,578803,6.0
DC,670050,6.4
